request arrival cycle, request accepted cycle, ptw_idx, npu_idx
18311, 29111, 4, 0
18311, 29111, 5, 0
18311, 29111, 6, 0
18311, 29111, 7, 0
18311, 29511, 0, 0
18311, 29511, 1, 0
18311, 29511, 2, 0
18311, 29511, 3, 0
18311, 29511, 4, 0
18311, 29511, 5, 0
18311, 29511, 6, 0
18311, 29511, 7, 0
18311, 29911, 0, 0
18311, 29911, 1, 0
18311, 29911, 2, 0
18311, 29911, 3, 0
18311, 29911, 4, 0
18311, 29911, 5, 0
18311, 29911, 6, 0
18311, 29911, 7, 0
18311, 30311, 0, 0
18311, 30311, 1, 0
18311, 30311, 2, 0
18311, 30311, 3, 0
18311, 30311, 4, 0
18311, 30311, 5, 0
18311, 30311, 6, 0
18311, 30311, 7, 0
18311, 30711, 0, 0
18311, 30711, 1, 0
18311, 30711, 2, 0
18311, 30711, 3, 0
18311, 30711, 4, 0
18311, 30711, 5, 0
18311, 30711, 6, 0
18311, 30711, 7, 0
18311, 31111, 0, 0
18311, 31111, 1, 0
18311, 31111, 2, 0
18311, 31111, 3, 0
18311, 31111, 4, 0
18311, 31111, 5, 0
18311, 31111, 6, 0
18311, 31111, 7, 0
18311, 31511, 0, 0
18311, 31511, 1, 0
18311, 31511, 2, 0
18311, 31511, 3, 0
18311, 31511, 4, 0
18311, 31511, 5, 0
18311, 31511, 6, 0
18311, 31511, 7, 0
40590, 40590, 0, 0
40590, 40590, 1, 0
40590, 40590, 2, 0
40590, 40590, 3, 0
40590, 40590, 4, 0
40590, 40590, 5, 0
40590, 40590, 6, 0
40590, 40590, 7, 0
40590, 40990, 0, 0
40590, 40990, 1, 0
40590, 40990, 2, 0
40590, 40990, 3, 0
40590, 40990, 4, 0
40590, 40990, 5, 0
40590, 40990, 6, 0
40590, 40990, 7, 0
41449, 41449, 0, 0
41449, 41449, 1, 0
41449, 41449, 2, 0
41449, 41449, 3, 0
41449, 41449, 4, 0
41449, 41449, 5, 0
41449, 41449, 6, 0
41449, 41449, 7, 0
41449, 41849, 0, 0
41449, 41849, 1, 0
41449, 41849, 2, 0
41449, 41849, 3, 0
41449, 41849, 4, 0
41449, 41849, 5, 0
41449, 41849, 6, 0
41449, 41849, 7, 0
41449, 42249, 0, 0
41449, 42249, 1, 0
